"","Effective Federal Funds Rate"
"698",0.132258064516129
"699",0.144333333333333
"700",0.158387096774194
"701",0.160666666666667
"702",0.164516129032258
"703",0.14258064516129
"704",0.145
"705",0.143548387096774
"706",0.145
"707",0.109032258064516
"708",0.0936666666666667
"709",0.0925806451612903
"710",0.0829032258064516
"711",0.08
"712",0.0870967741935484
"713",0.0843333333333333
"714",0.0851612903225806
"715",0.0716129032258065
"716",0.0664285714285714
"717",0.0780645161290323
"718",0.0903333333333333
"719",0.0870967741935484
"720",0.0956666666666667
"721",0.0909677419354839
"722",0.0880645161290323
"723",0.0883333333333333
"724",0.0890322580645161
"725",0.092
"726",0.12258064516129
"727",0.114838709677419
"728",0.110714285714286
"729",0.112903225806452
"730",0.124666666666667
"731",0.123225806451613
"732",0.129
"733",0.130322580645161
"734",0.138064516129032
"735",0.136
"736",0.123548387096774
"737",0.117666666666667
"738",0.240645161290323
"739",0.342903225806452
"740",0.375172413793103
"741",0.362258064516129
"742",0.365333333333333
"743",0.365161290322581
"744",0.377666666666667
"745",0.391612903225806
"746",0.396774193548387
"747",0.396333333333333
"748",0.396451612903226
"749",0.406666666666667
"750",0.54
"751",0.649677419354839
"752",0.656785714285714
"753",0.786129032258065
"754",0.896
"755",0.90741935483871
"756",1.04
"757",1.15064516129032
"758",1.15709677419355
"759",1.15333333333333
"760",1.15387096774194
"761",1.157
"762",1.30161290322581
"763",1.41451612903226
"764",1.4175
"765",1.50612903225806
"766",1.69233333333333
"767",1.7
"768",1.81966666666667
"769",1.91
"770",1.91483870967742
"771",1.95466666666667
"772",2.18774193548387
"773",2.19766666666667
"774",2.2741935483871
"775",2.4
"776",2.4
"777",2.40516129032258
"778",2.42366666666667
"779",2.39096774193548
"780",2.37766666666667
"781",2.40290322580645
"782",2.1258064516129
"783",2.043
"784",1.82967741935484
"785",1.55333333333333
"786",1.55096774193548
"787",1.55064516129032
"788",1.58310344827586
"789",0.652258064516129
"790",0.049
"791",0.05
"792",0.0776666666666667
"793",0.0925806451612903
"794",0.0951612903225807
"795",0.09
"796",0.09
